Name,Season,Role,Start Date,End Date,Average_Popularity_Score
Evander Holyfield,1,Celebrity,2005-06-01,2005-07-06,2.7777777777777777
Joey McIntyre,1,Celebrity,2005-06-01,2005-07-06,7.25
John O'Hurley,1,Celebrity,2005-06-01,2005-07-06,0.0
Kelly Monaco,1,Celebrity,2005-06-01,2005-07-06,20.833333333333332
Rachel Hunter,1,Celebrity,2005-06-01,2005-07-06,24.75
Trista Sutter,1,Celebrity,2005-06-01,2005-07-06,2.7777777777777777
Alec Mazo,1,Professional,2005-06-01,2005-07-06,0.0
Ashly DelGrosso,1,Professional,2005-06-01,2005-07-06,2.7777777777777777
Charlotte Jorgensen,1,Professional,2005-06-01,2005-07-06,0.0
Edyta Sliwinska,1,Professional,2005-06-01,2005-07-06,0.0
Jonathan Roberts,1,Professional,2005-06-01,2005-07-06,0.0
Louis van Amstel,1,Professional,2005-06-01,2005-07-06,0.0
Drew Lachey,2,Celebrity,2006-01-05,2006-02-26,9.547169811320755
George Hamilton,2,Celebrity,2006-01-05,2006-02-26,10.716981132075471
Giselle Fernandez,2,Celebrity,2006-01-05,2006-02-26,7.169811320754717
Jerry Rice,2,Celebrity,2006-01-05,2006-02-26,27.037735849056602
Kenny Mayne,2,Celebrity,2006-01-05,2006-02-26,4.509433962264151
Lisa Rinna,2,Celebrity,2006-01-05,2006-02-26,28.32075471698113
Master P,2,Celebrity,2006-01-05,2006-02-26,15.075471698113208
Stacy Keibler,2,Celebrity,2006-01-05,2006-02-26,38.943396226415096
Tatum O'Neal,2,Celebrity,2006-01-05,2006-02-26,0.0
Tia Carrere,2,Celebrity,2006-01-05,2006-02-26,16.71698113207547
Andrea Hale,2,Professional,2006-01-05,2006-02-26,1.8867924528301887
Anna Trebunskaya,2,Professional,2006-01-05,2006-02-26,1.8867924528301887
Ashly DelGrosso,2,Professional,2006-01-05,2006-02-26,6.056603773584905
Cheryl Burke,2,Professional,2006-01-05,2006-02-26,5.490566037735849
Edyta Sliwinska,2,Professional,2006-01-05,2006-02-26,5.490566037735849
Jonathan Roberts,2,Professional,2006-01-05,2006-02-26,0.0
Louis van Amstel,2,Professional,2006-01-05,2006-02-26,0.0
Maksim Chmerkoskiy,2,Professional,2006-01-05,2006-02-26,0.0
