celebrity_name,season,week,twitter_mentions,instagram_engagement,facebook_shares,youtube_views,sentiment_score,google_search_volume
John O'Hurley,1,1,1254,20686,497,1215387,-0.052,8.5
John O'Hurley,1,2,1356,14813,530,383302,0.484,7.0
John O'Hurley,1,3,1469,29629,554,124904,0.606,10.3
John O'Hurley,1,4,1616,32288,609,100485,0.151,10.4
John O'Hurley,1,5,1738,19633,671,1145723,0.434,9.7
John O'Hurley,1,6,1824,43867,748,1665042,0.373,8.1
Kelly Monaco,1,1,1367,10222,528,58745,-0.215,14.6
Kelly Monaco,1,2,1433,11234,589,518566,0.174,24.2
Kelly Monaco,1,3,1503,11067,629,340893,0.337,24.4
Kelly Monaco,1,4,1685,8152,638,487109,0.562,21.3
Kelly Monaco,1,5,1813,22298,682,332469,0.509,21.5
Kelly Monaco,1,6,1959,14282,768,269949,0.764,29.1
Evander Holyfield,1,1,1108,10356,425,267368,0.039,12.9
Evander Holyfield,1,2,1239,13021,470,113414,-0.125,10.3
Evander Holyfield,1,3,1309,6286,503,547144,-0.056,14.4
Rachel Hunter,1,1,1171,3889,459,9601085,0.379,40.6
Rachel Hunter,1,2,1285,1966,519,367901,0.284,38.2
Rachel Hunter,1,3,1321,1629,520,699041,0.487,45.4
Rachel Hunter,1,4,1489,1718,555,208519,0.752,49.6
Joey McIntyre,1,1,1212,2622,509,1007005,-0.045,47.2
Joey McIntyre,1,2,1328,3558,539,96029,0.469,52.9
Joey McIntyre,1,3,1409,7287,565,69093,0.17,79.9
Joey McIntyre,1,4,1589,3116,630,1105325,0.261,72.2
Joey McIntyre,1,5,1712,5595,668,480763,0.242,86.2
Trista Sutter,1,1,977,10414,408,164943,0.018,53.0
Trista Sutter,1,2,1141,9469,462,668512,0.306,59.9
Tatum O'Neal,2,1,899,1348,360,1046687,0.433,74.1
Tatum O'Neal,2,2,947,1771,395,1020951,-0.058,83.9
Tia Carrere,2,1,1090,23784,422,3464808,0.321,22.4
Tia Carrere,2,2,1087,32947,444,263778,0.387,26.1
Tia Carrere,2,3,1304,24700,506,841584,0.696,24.4
Tia Carrere,2,4,1247,31571,551,118360,0.269,27.9
Tia Carrere,2,5,1417,33822,615,690911,0.329,24.1
George Hamilton,2,1,1048,3735,442,725552,0.166,27.2
George Hamilton,2,2,1217,3013,455,276700,-0.094,38.2
George Hamilton,2,3,1261,2215,531,197528,0.357,37.2
George Hamilton,2,4,1371,2234,593,723518,-0.007,31.5
George Hamilton,2,5,1488,3991,609,214339,0.309,51.0
George Hamilton,2,6,1600,2497,627,535852,0.324,48.6
Lisa Rinna,2,1,1151,1560,461,1418148,0.602,11.7
Lisa Rinna,2,2,1253,1489,479,200158,0.131,11.8
Lisa Rinna,2,3,1389,898,497,100900,0.325,16.9
Lisa Rinna,2,4,1530,1126,580,332633,0.782,21.9
Lisa Rinna,2,5,1659,1569,591,133823,0.321,23.7
Lisa Rinna,2,6,1633,1758,687,664538,0.691,19.8
Lisa Rinna,2,7,1705,2296,723,205445,0.457,15.4
Stacy Keibler,2,1,1190,314948,471,65367,-0.037,31.7
Stacy Keibler,2,2,1274,118848,506,98259,0.765,53.3
Stacy Keibler,2,3,1393,228964,607,3633388,0.597,41.8
Stacy Keibler,2,4,1557,138198,613,302879,0.552,45.2
Stacy Keibler,2,5,1628,184935,660,338019,0.023,62.7
Stacy Keibler,2,6,1786,240972,741,277532,0.425,65.4
Stacy Keibler,2,7,1814,315415,747,1687674,0.026,42.6
Stacy Keibler,2,8,2004,205074,785,274712,0.659,46.2
Jerry Rice,2,1,1337,13909,534,610073,0.159,105.4
Jerry Rice,2,2,1390,7619,520,74000,0.539,97.3
Jerry Rice,2,3,1480,17102,571,686348,-0.038,122.0
Jerry Rice,2,4,1686,19148,594,4010355,0.432,138.5
Jerry Rice,2,5,1676,19375,676,6139747,0.167,88.2
Jerry Rice,2,6,1811,12849,747,621185,0.502,104.0
Jerry Rice,2,7,2032,19293,799,1237753,0.016,116.1
Jerry Rice,2,8,2062,21430,824,1058290,0.664,123.7
Giselle Fernandez,2,1,914,10100,361,734432,0.301,22.5
Giselle Fernandez,2,2,1041,10503,443,1220221,0.222,27.5
Giselle Fernandez,2,3,1124,31098,439,717568,0.063,40.8
Master P,2,1,988,5239,425,482164,-0.029,37.3
Master P,2,2,1052,8392,414,205362,0.265,46.8
Master P,2,3,1143,8842,435,254786,0.146,60.1
Master P,2,4,1255,8789,476,1085579,-0.155,47.1
Drew Lachey,2,1,1303,18477,531,423981,0.291,20.2
Drew Lachey,2,2,1434,19041,570,1162158,0.581,20.8
Drew Lachey,2,3,1572,18861,623,351558,0.388,20.2
Drew Lachey,2,4,1702,37094,690,4460062,0.243,37.0
Drew Lachey,2,5,1804,12888,693,2059629,0.547,39.8
Drew Lachey,2,6,1906,37459,776,3426460,0.593,38.1
Drew Lachey,2,7,2040,45854,830,1756806,0.315,29.3
Drew Lachey,2,8,2110,23153,875,193360,0.745,25.6
Kenny Mayne,2,1,787,171596,315,384779,-0.063,46.2
Harry Hamlin,3,1,896,3371,340,752649,0.351,32.2
Harry Hamlin,3,2,1031,3211,418,392421,-0.09,45.6
Harry Hamlin,3,3,992,6162,395,82078,-0.054,48.4
Vivica A. Fox,3,1,1018,6669,373,186347,0.25,21.4
Vivica A. Fox,3,2,1014,11090,427,864211,0.081,18.3
Vivica A. Fox,3,3,1078,3906,409,231721,0.361,28.8
Vivica A. Fox,3,4,1192,13585,469,230343,0.111,21.7
Monique Coleman,3,1,1173,719709,421,725378,0.132,56.2
Monique Coleman,3,2,1277,396966,458,295841,0.371,76.8
Monique Coleman,3,3,1352,837142,533,820341,0.557,58.3
Monique Coleman,3,4,1411,687326,591,606931,0.161,78.5
Monique Coleman,3,5,1538,1218278,636,3166933,0.566,97.6
Monique Coleman,3,6,1695,1199731,685,95547,0.136,97.4
Monique Coleman,3,7,1747,1522733,820,163386,0.837,114.4
Monique Coleman,3,8,1904,541858,728,2269627,0.144,111.2
Joey Lawrence,3,1,1194,8828,490,421728,0.58,54.5
Joey Lawrence,3,2,1309,15985,516,352713,0.793,44.1
Joey Lawrence,3,3,1362,33729,586,829078,0.148,81.6
Joey Lawrence,3,4,1553,10084,643,1206679,0.277,60.1
