season,regime,disagreements,fan_favored_by_rank,fan_favored_by_pct,rank_accuracy,pct_accuracy
1,Rank Era (S1-2),2,0,2,0.6666666666666666,1.0
2,Rank Era (S1-2),1,0,1,0.5714285714285714,0.7142857142857143
3,Percent Era (S3-27),3,1,2,0.5714285714285714,0.7142857142857143
4,Percent Era (S3-27),1,1,0,0.5,0.5
5,Percent Era (S3-27),5,3,2,0.4444444444444444,0.5555555555555556
6,Percent Era (S3-27),3,1,2,0.75,0.75
7,Percent Era (S3-27),3,2,1,0.875,0.625
8,Percent Era (S3-27),3,1,2,0.5,0.7
9,Percent Era (S3-27),2,1,1,0.3333333333333333,0.5555555555555556
10,Percent Era (S3-27),4,3,1,0.625,0.5
11,Percent Era (S3-27),2,1,1,0.4444444444444444,0.4444444444444444
12,Percent Era (S3-27),1,0,1,0.625,0.75
13,Percent Era (S3-27),3,3,0,0.6666666666666666,0.5555555555555556
14,Percent Era (S3-27),4,2,2,0.75,0.625
15,Percent Era (S3-27),5,1,4,0.7142857142857143,0.8571428571428571
16,Percent Era (S3-27),2,1,1,0.5,0.7
17,Percent Era (S3-27),3,2,1,0.5,0.5
18,Percent Era (S3-27),3,2,1,0.75,0.625
19,Percent Era (S3-27),4,1,3,0.4,0.8
20,Percent Era (S3-27),6,1,5,0.25,0.625
21,Percent Era (S3-27),3,1,2,0.375,0.75
22,Percent Era (S3-27),2,1,1,0.5714285714285714,0.7142857142857143
23,Percent Era (S3-27),2,0,2,0.5,0.6
24,Percent Era (S3-27),3,3,0,0.625,0.375
25,Percent Era (S3-27),2,1,1,0.7777777777777778,0.7777777777777778
26,Percent Era (S3-27),1,0,1,0.6666666666666666,1.0
27,Percent Era (S3-27),6,2,4,0.14285714285714285,0.5714285714285714
28,Bottom-2 Era (S28-34),3,1,2,0.75,0.75
29,Bottom-2 Era (S28-34),0,0,0,0.9,0.9
30,Bottom-2 Era (S28-34),2,0,2,0.875,1.0
31,Bottom-2 Era (S28-34),2,1,1,1.0,0.8888888888888888
32,Bottom-2 Era (S28-34),4,0,4,0.6666666666666666,1.0
33,Bottom-2 Era (S28-34),2,0,2,0.8333333333333334,0.8333333333333334
34,Bottom-2 Era (S28-34),1,0,1,0.7777777777777778,0.7777777777777778
