season,regime,uncertainty_avg_cv
1,rank,0.1707220514322076
2,rank,0.20115896019287643
3,percent,0.014381785448351324
4,percent,0.014580995598386746
5,percent,0.011603713215371318
6,percent,0.017399702455075116
7,percent,0.014596754019511937
8,percent,0.017125613878649384
9,percent,0.017074777677523002
10,percent,0.015994174021819286
11,percent,0.01402808170974761
12,percent,0.013887845341792668
13,percent,0.016829639829145388
14,percent,0.014800995283487363
15,percent,0.01795689387449221
16,percent,0.013838647362302104
17,percent,0.01420433115371317
18,percent,0.011368672605802089
19,percent,0.01120526275925815
20,percent,0.011541534581006338
21,percent,0.01381173112844338
22,percent,0.014535852161882605
23,percent,0.011903307176562171
24,percent,0.011841696181511133
25,percent,0.014341344263940469
26,percent,0.01610854323306379
27,percent,0.01723171081723799
28,bottom2,0.3131415254543341
29,bottom2,0.49332045827029164
30,bottom2,0.5201355858665058
31,bottom2,0.5020804632695244
32,bottom2,0.4764587696844444
33,bottom2,0.4097847252935018
34,bottom2,0.4314905000976466
