season,week,celebrity_name,judge_total,judge_share,fan_vote_share,judge_rank,fan_rank,rank_rule_rank,percent_rule_rank,combined_rank_sum,combined_score,eliminated_this_week,final_placement,regime
1,1,John O'Hurley,20.0,0.1834862385321101,0.3105084870032935,1,1,1,1,2,0.4939947255354036,False,2,rank
1,1,Kelly Monaco,13.0,0.11926605504587157,0.0692838084324915,6,6,6,6,12,0.18854986347836306,False,1,rank
1,1,Evander Holyfield,18.0,0.1651376146788991,0.1262433299074973,4,4,4,4,8,0.2913809445863964,False,5,rank
1,1,Rachel Hunter,20.0,0.1834862385321101,0.2300303448483522,1,2,2,2,3,0.41351658338046227,False,4,rank
1,1,Joey McIntyre,20.0,0.1834862385321101,0.1704106707733582,1,3,3,3,4,0.3538969093054683,False,3,rank
1,1,Trista Sutter,18.0,0.1651376146788991,0.0935233590350072,4,5,5,5,9,0.2586609737139063,False,6,rank
1,2,John O'Hurley,26.0,0.21487603305785125,0.3105084870032935,1,1,1,1,2,0.5253845200611447,False,2,rank
1,2,Kelly Monaco,17.0,0.14049586776859505,0.0935233590350072,5,5,4,5,10,0.23401922680360226,False,1,rank
1,2,Evander Holyfield,14.0,0.11570247933884298,0.1262433299074973,6,4,4,4,10,0.24194580924634027,False,5,rank
1,2,Rachel Hunter,24.0,0.19834710743801653,0.2300303448483522,2,2,2,2,4,0.4283774522863687,False,4,rank
1,2,Joey McIntyre,21.0,0.17355371900826447,0.1704106707733582,3,3,3,3,6,0.3439643897816227,False,3,rank
1,2,Trista Sutter,19.0,0.15702479338842976,0.0692838084324915,4,6,4,6,10,0.22630860182092127,True,6,rank
1,3,John O'Hurley,24.0,0.22641509433962265,0.333623170861932,2,1,1,1,3,0.5600382652015546,False,2,rank
1,3,Kelly Monaco,21.0,0.19811320754716982,0.1356410590589154,4,4,4,4,8,0.3337542666060852,False,1,rank
1,3,Evander Holyfield,13.0,0.12264150943396226,0.1004853680234095,5,5,5,5,10,0.22312687745737175,True,5,rank
1,3,Rachel Hunter,26.0,0.24528301886792453,0.2471541238161292,1,2,1,2,3,0.4924371426840537,False,4,rank
1,3,Joey McIntyre,22.0,0.20754716981132076,0.1830962782396138,3,3,3,3,6,0.39064344805093454,False,3,rank
1,4,John O'Hurley,21.0,0.22826086956521738,0.3708924335436651,3,1,1,1,4,0.5991533031088825,False,2,rank
1,4,Kelly Monaco,26.0,0.2826086956521739,0.2035500832679938,1,3,1,3,4,0.4861587789201677,False,1,rank
1,4,Rachel Hunter,25.0,0.2717391304347826,0.1507936105062107,2,4,3,4,6,0.4225327409409933,True,4,rank
1,4,Joey McIntyre,20.0,0.21739130434782608,0.2747638726821303,4,2,3,2,6,0.49215517702995637,False,3,rank
1,5,John O'Hurley,27.0,0.3698630136986301,0.4367518169107908,1,1,1,1,2,0.806614830609421,False,2,rank
1,5,Kelly Monaco,23.5,0.3219178082191781,0.2396944792058498,2,3,2,3,5,0.5616122874250279,False,1,rank
1,5,Joey McIntyre,22.5,0.3082191780821918,0.3235537038833594,3,2,2,2,5,0.6317728819655513,False,3,rank
1,6,John O'Hurley,27.0,0.4954128440366973,0.574442516811659,2,1,1,1,3,1.0698553608483563,False,2,rank
1,6,Kelly Monaco,27.5,0.5045871559633027,0.425557483188341,1,2,1,2,3,0.9301446391516437,False,1,rank
2,1,Tatum O'Neal,23.0,0.11794871794871795,0.2020669033180707,2,2,2,2,4,0.3200156212667886,False,9,rank
2,1,Tia Carrere,20.0,0.10256410256410256,0.0608613816984254,6,6,6,6,12,0.16342548426252795,False,6,rank
2,1,George Hamilton,18.0,0.09230769230769231,0.0334014344648559,8,8,8,8,16,0.1257091267725482,False,5,rank
2,1,Lisa Rinna,19.0,0.09743589743589744,0.0450872204980584,7,7,7,7,14,0.14252311793395583,False,4,rank
2,1,Stacy Keibler,22.0,0.11282051282051282,0.1108966678104438,4,4,4,4,8,0.22371718063095664,False,3,rank
2,1,Jerry Rice,21.0,0.1076923076923077,0.0821542721268645,5,5,5,5,10,0.1898465798191722,False,2,rank
2,1,Giselle Fernandez,23.0,0.11794871794871795,0.1496948437747579,2,3,3,3,5,0.2676435617234758,False,8,rank
