celebrity_name,ballroom_partner,season,placement,avg_judge_score,max_judge_score,weeks_survived,age,country,celeb_popularity,partner_popularity,is_us,region_group,age_squared,celeb_pop_log,partner_pop_log,avg_fan_vote_share,avg_cv
John O'Hurley,Charlotte Jorgensen,1,2,24.166666666666668,27.0,6,50,United States,0.0,0.0,1,US,2500,0.0,0.0,0.3894544853557724,0.18575844851651266
Kelly Monaco,Alec Mazo,1,1,21.333333333333332,27.5,6,29,United States,20.83333333333333,0.0,1,US,841,3.083437853973096,0.0,0.1945417120314331,0.09668550125172641
Evander Holyfield,Edyta Sliwinska,1,5,15.0,18.0,3,42,United States,2.7777777777777777,0.0,1,US,1764,1.329135947279942,0.0,0.11765734261280136,0.16443446214983154
Rachel Hunter,Jonathan Roberts,1,4,23.75,26.0,4,35,New Zealand,24.75,0.0,0,English_Speaking,1225,3.248434627109745,0.0,0.21450210600476108,0.20648578147364946
Joey McIntyre,Ashly DelGrosso,1,3,21.1,22.5,5,32,United States,7.25,2.7777777777777777,1,US,1024,2.1102132003465894,1.329135947279942,0.224447039270364,0.19389853694600917
Trista Sutter,Louis van Amstel,1,6,18.5,19.0,2,32,United States,2.7777777777777777,0.0,1,US,1024,1.329135947279942,0.0,0.08140358373374935,0.2276852207769122
Tatum O'Neal,Nick Kosovich,2,9,20.0,23.0,2,42,United States,0.0,1.8867924528301887,1,US,1764,0.0,1.0601460078403135,0.1136366782383015,0.34781315878587393
Tia Carrere,Maksim Chmerkoskiy,2,6,23.0,26.0,5,39,United States,16.71698113207547,0.0,1,US,1521,2.874523565656141,0.0,0.08996044132410377,0.2486189548621692
George Hamilton,Edyta Sliwinska,2,5,21.666666666666668,24.0,6,66,United States,10.716981132075473,5.490566037735849,1,US,4356,2.461039168381357,1.8703497438212766,0.06714027528864436,0.2153408139259628
Lisa Rinna,Louis van Amstel,2,4,24.071428571428573,27.0,7,42,United States,28.32075471698113,0.0,1,US,1764,3.378295617375471,0.0,0.09922470887927645,0.14736822712525344
Stacy Keibler,Tony Dovolani,2,3,27.520812499999998,30.0,8,26,United States,38.943396226415096,1.8867924528301887,1,US,676,3.6874633575827436,1.0601460078403135,0.22110647155785718,0.14512082003815688
Jerry Rice,Anna Trebunskaya,2,2,22.520825000000002,26.666600000000003,8,43,United States,27.0377358490566,1.8867924528301887,1,US,1849,3.3335513117255826,1.0601460078403135,0.1637997028407046,0.16958109599754573
Giselle Fernandez,Jonathan Roberts,2,8,23.0,24.0,3,44,Mexico,7.169811320754717,0.0,0,Other,1936,2.100445814450368,0.0,0.1301466689331336,0.3293805143741218
Master P,Ashly DelGrosso,2,7,12.5,16.0,4,35,United States,15.075471698113208,6.056603773584905,1,US,1225,2.777294613277194,1.95396388386241,0.038676808919085974,0.3025625618651608
Drew Lachey,Cheryl Burke,2,1,27.437475,30.0,8,29,United States,9.547169811320757,5.490566037735849,1,US,841,2.3558575596029776,1.8703497438212766,0.3228477611819114,0.13212497459756056
Kenny Mayne,Andrea Hale,2,10,13.0,13.0,1,46,United States,4.509433962264151,1.8867924528301887,1,US,2116,1.7064618887161598,1.0601460078403135,0.0183310958965449,0.4249154490653158
Harry Hamlin,Ashly DelGrosso,3,9,20.0,22.0,3,54,United States,6.769230769230769,2.7777777777777777,1,US,2916,2.0501711593797225,1.329135947279942,0.0880506235133744,0.0180792503802652
Vivica A. Fox,Nick Kosovich,3,8,24.25,27.0,4,42,United States,1.5384615384615383,1.8867924528301887,1,US,1764,0.9315582040049435,1.0601460078403135,0.1100419101071369,0.013729296225790999
Monique Coleman,Louis van Amstel,3,4,24.9375,27.0,8,25,United States,9.446153846153846,0.0,1,US,625,2.346233857663059,0.0,0.15181676811048106,0.01638655966008959
Joey Lawrence,Edyta Sliwinska,3,3,25.88888888888889,29.5,9,30,United States,0.0,0.0,1,US,900,0.0,0.0,0.17595794871688059,0.009610608089251156
Mario Lopez,Karina Smirnoff,3,2,26.866660000000003,29.666600000000003,10,32,United States,4.907692307692308,4.907692307692308,1,US,1024,1.7762552826920899,1.7762552826920899,0.2191975793139452,0.01081775244573593
Emmitt Smith,Cheryl Burke,3,1,25.76666,29.666600000000003,10,37,United States,5.490566037735849,5.490566037735849,1,US,1369,1.8703497438212766,1.8703497438212766,0.20866612258234873,0.01000504554431768
Shanna Moakler,Jesse DeSoto,3,10,20.0,22.0,2,31,United States,0.0,0.0,1,US,961,0.0,0.0,0.08175101382999361,0.0247702096509218
Willa Ford,Maksim Chmerkoskiy,3,7,24.4,28.0,5,25,United States,0.0,0.0,1,US,625,0.0,0.0,0.11624954483156325,0.0169005047475971
Sara Evans,Tony Dovolani,3,6,21.0,25.0,5,35,United States,1.8867924528301887,1.8867924528301887,1,US,1225,1.0601460078403135,1.0601460078403135,0.10505463915644156,0.0208667987966173
Jerry Springer,Kym Johnson,3,5,20.428571428571427,24.0,7,62,England,6.723076923076923,6.723076923076923,0,English_Speaking,3844,2.044212849796092,2.044212849796092,0.12746534206987864,0.015837755909617772
Tucker Carlson,Elena Grinenko,3,11,12.0,12.0,1,37,United States,0.0,0.0,1,US,1369,0.0,0.0,0.0566074446434523,0.0362221742757719
John Ratzenberger,Edyta Sliwinska,4,6,19.071428571428573,22.5,7,59,United States,0.0,0.0,1,US,3481,0.0,0.0,0.10290728110401257,0.017524854320082845
Ian Ziering,Cheryl Burke,4,4,24.27777777777778,29.0,9,42,United States,5.490566037735849,5.490566037735849,1,US,1764,1.8703497438212766,1.8703497438212766,0.14444156997590382,0.010392841754477487
Clyde Drexler,Elena Grinenko,4,8,15.6,18.0,5,44,United States,0.0,0.0,1,US,1936,0.0,0.0,0.09360381142637753,0.025554411584483
Laila Ali,Maksim Chmerkoskiy,4,3,26.23332,30.0,10,29,United States,0.0,0.0,1,US,841,0.0,0.0,0.17272763716615894,0.01038066161939587
Apolo Anton Ohno,Julianne Hough,4,1,26.883319999999998,30.0,10,24,United States,14.6,14.6,1,US,576,2.747270914255491,2.747270914255491,0.1745896181420613,0.01193125687134665
Shandi Finnessey,Brian Fortuna,4,10,20.0,21.0,3,28,United States,4.2615384615384615,4.2615384615384615,1,US,784,1.660423467166968,1.660423467166968,0.08703912373225393,0.02442502022080283
Paulina Porizkova,Alec Mazo,4,11,20.0,21.0,2,41,Czechoslovakia,0.0,0.0,0,Other,1681,0.0,0.0,0.08357111945853904,0.020025405317774497
Heather Mills,Jonathan Roberts,4,7,22.166666666666668,24.0,6,39,England,0.0,0.0,0,English_Speaking,1521,0.0,0.0,0.10507539613198998,0.017230201961863516
Billy Ray Cyrus,Karina Smirnoff,4,5,19.0,21.0,8,45,United States,4.907692307692308,4.907692307692308,1,US,2025,1.7762552826920899,1.7762552826920899,0.10908238216282537,0.017183172499896014
Joey Fatone,Kym Johnson,4,2,26.76665,30.0,10,30,United States,6.723076923076923,6.723076923076923,1,US,900,2.044212849796092,2.044212849796092,0.17704925550193212,0.00953039342885577
Leeza Gibbons,Tony Dovolani,4,9,19.0,24.0,4,50,United States,1.8867924528301887,1.8867924528301887,1,US,2500,1.0601460078403135,1.0601460078403135,0.0841549232617453,0.015604119515759324
Cameron Mathison,Edyta Sliwinska,5,5,24.25,27.0,8,38,Canada,0.0,0.0,0,English_Speaking,1444,0.0,0.0,0.12295687359860988,0.010930304516761425
Jane Seymour,Tony Dovolani,5,6,24.428571428571427,27.0,7,56,England,1.8867924528301887,1.8867924528301887,0,English_Speaking,3136,1.0601460078403135,1.0601460078403135,0.1214010354469689,0.013387878671701272
