season,celebrity_name,avg_fan_vote_share,avg_judge_score,placement,weeks_survived,age,is_us,celeb_popularity,partner_popularity,bmi,dance_experience_score,industry_group,ballroom_partner,avg_social_media_popularity,avg_google_search_volume,age_squared
1,Evander Holyfield,0.11765734261280136,15.0,5,3,42,1,2.7777777777777777,0.0,20.6,1.8,Athlete,Edyta Sliwinska,-2.152459342426328,12.533333333333333,1764
1,Joey McIntyre,0.224447039270364,21.1,3,5,32,1,7.25,2.7777777777777777,18.0,3.5,Singer,Ashly DelGrosso,-0.7076991442560895,67.67999999999999,1024
1,John O'Hurley,0.3894544853557724,24.166666666666668,2,6,50,1,0.0,0.0,24.2,4.9,Actor,Charlotte Jorgensen,-0.10212918527552824,9.0,2500
1,Kelly Monaco,0.1945417120314331,21.333333333333332,1,6,29,1,20.83333333333333,0.0,25.2,7.1,Actor,Alec Mazo,-0.1502542714986533,22.516666666666666,841
1,Rachel Hunter,0.21450210600476108,23.75,4,4,35,0,24.75,0.0,19.3,2.1,Model,Jonathan Roberts,0.6867186823316007,43.45,1225
1,Trista Sutter,0.08140358373374935,18.5,6,2,32,1,2.7777777777777777,0.0,25.5,0.3,TV,Louis van Amstel,-2.6040190632747926,56.45,1024
2,Drew Lachey,0.3228477611819114,27.437475,1,8,29,1,9.547169811320757,5.490566037735849,24.0,8.6,Singer,Cheryl Burke,1.8471962122826293,28.875,841
2,George Hamilton,0.06714027528864436,21.666666666666668,5,6,66,1,10.716981132075473,5.490566037735849,24.3,3.2,Actor,Edyta Sliwinska,-1.3253151134820669,38.95,4356
2,Giselle Fernandez,0.1301466689331336,23.0,8,3,44,0,7.169811320754717,0.0,25.3,1.7,Other,Jonathan Roberts,-2.3194450739145998,30.266666666666666,1936
2,Jerry Rice,0.1637997028407046,22.520825000000002,2,8,43,1,27.0377358490566,1.8867924528301887,20.9,0.9,Athlete,Anna Trebunskaya,1.5415021416347081,111.9,1849
2,Kenny Mayne,0.0183310958965449,13.0,10,1,46,1,4.509433962264151,1.8867924528301887,25.1,4.1,Other,Andrea Hale,-3.550398191700887,46.2,2116
2,Lisa Rinna,0.09922470887927645,24.071428571428573,4,7,42,1,28.32075471698113,0.0,25.0,6.0,Actor,Louis van Amstel,-0.8184781364130876,17.314285714285713,1764
2,Master P,0.038676808919085974,12.5,7,4,35,1,15.075471698113208,6.056603773584905,23.4,3.4,Singer,Ashly DelGrosso,-2.388076443680843,47.825,1225
2,Stacy Keibler,0.22110647155785718,27.520812499999998,3,8,26,1,38.943396226415096,1.8867924528301887,19.7,0.0,Athlete,Tony Dovolani,0.7837574642800671,48.612500000000004,676
2,Tatum O'Neal,0.1136366782383015,20.0,9,2,42,1,0.0,1.8867924528301887,21.0,2.1,Actor,Nick Kosovich,-2.6790467466267525,79.0,1764
2,Tia Carrere,0.08996044132410377,23.0,6,5,39,1,16.71698113207547,0.0,26.5,7.4,Actor,Maksim Chmerkoskiy,-1.0855766546743184,24.98,1521
3,Emmitt Smith,0.20866612258234873,25.76666,1,10,37,1,5.490566037735849,5.490566037735849,22.8,3.0,Athlete,Cheryl Burke,1.394329718137795,62.85,1369
3,Harry Hamlin,0.0880506235133744,20.0,9,3,54,1,6.769230769230769,2.7777777777777777,20.9,1.6,Actor,Ashly DelGrosso,-3.12453667539927,42.06666666666667,2916
3,Jerry Springer,0.12746534206987864,20.428571428571427,5,7,62,0,6.723076923076923,6.723076923076923,21.9,3.3,TV,Kym Johnson,-0.8280811454466503,58.971428571428575,3844
3,Joey Lawrence,0.17595794871688059,25.88888888888889,3,9,30,1,0.0,0.0,21.4,2.5,Actor,Edyta Sliwinska,0.5600187869431857,75.08888888888889,900
3,Mario Lopez,0.2191975793139452,26.866660000000003,2,10,32,1,4.907692307692308,4.907692307692308,23.7,1.7,Actor,Karina Smirnoff,1.1857961585205383,46.97,1024
3,Monique Coleman,0.15181676811048106,24.9375,4,8,25,1,9.446153846153846,0.0,22.2,2.6,Actor,Louis van Amstel,2.3804752200934356,86.3,625
3,Sara Evans,0.10505463915644156,21.0,6,5,35,1,1.8867924528301887,1.8867924528301887,18.9,8.2,Singer,Tony Dovolani,-1.6662183714520473,59.239999999999995,1225
3,Shanna Moakler,0.08175101382999361,20.0,10,2,31,1,0.0,0.0,18.8,2.1,Model,Jesse DeSoto,-3.260405978697771,14.55,961
3,Tucker Carlson,0.0566074446434523,12.0,11,1,37,1,0.0,0.0,21.7,1.7,TV,Elena Grinenko,-3.380772333187766,28.5,1369
3,Vivica A. Fox,0.1100419101071369,24.25,8,4,42,1,1.5384615384615383,1.8867924528301887,24.0,8.9,Actor,Nick Kosovich,-2.696292455080825,22.55,1764
