season,week,celebrity_name,fan_vote_share,fan_vote_mean,fan_vote_std,cv,ci_low,ci_high,ci_width,judge_total,regime,eliminated_this_week,ballroom_partner,celebrity_industry,celebrity_homestate,Celebrity_Average_Popularity_Score,ballroom_partner_Average_Popularity_Score,celebrity_homecountry/region,celebrity_age_during_season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,bmi,dance_experience_score,social_media_popularity,google_search_volume
1,1,John O'Hurley,0.3105084870032935,0.1920872806592553,0.060872759182933,0.3169015614881633,0.0995154664668163,0.2855352291426165,0.1860197626758001,20.0,rank,False,Charlotte Jorgensen,Actor/Actress,Maine,0.0,0.0,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,24.2,4.9,-0.9752236642590588,0.03604395604395604
1,1,Kelly Monaco,0.0692838084324915,0.0774492240548634,0.014778813774441,0.190819391088697,0.0522917090333962,0.0948021737706253,0.0425104647372291,13.0,rank,False,Alec Mazo,Actor/Actress,Pennsylvania,20.83333333333333,0.0,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,25.2,7.1,-1.6854025728147477,0.06285714285714285
1,1,Evander Holyfield,0.1262433299074973,0.1203238133801024,0.0264086611666575,0.2194799219272806,0.0773978663279005,0.1615565472365467,0.0841586809086462,18.0,rank,False,Edyta Sliwinska,Athlete,Alabama,2.7777777777777777,0.0,United States,42,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,20.6,1.8,-2.6918495518093604,0.055384615384615386
1,1,Rachel Hunter,0.2300303448483522,0.2531540569284202,0.0651057361559348,0.2571783243210816,0.1495816673956684,0.3536318088651379,0.2040501414694695,20.0,rank,False,Jonathan Roberts,Model,,24.75,0.0,New Zealand,35,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,19.3,2.1,6.752126111351702,0.17714285714285716
1,1,Joey McIntyre,0.1704106707733582,0.2176453784933211,0.0588193315242723,0.2702530691506383,0.1239700821778291,0.3106573642017631,0.1866872820239339,20.0,rank,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,7.25,2.7777777777777777,United States,32,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,18.0,3.5,-1.255000244732873,0.2061538461538462
1,1,Trista Sutter,0.0935233590350072,0.1393402464840373,0.0368626085794218,0.2645510504651274,0.0908447363906485,0.2033387408592539,0.1124940044686053,18.0,rank,False,Louis van Amstel,TV Personality,Indiana,2.7777777777777777,0.0,United States,32,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,25.5,0.3,-3.199154290065091,0.23164835164835165
1,2,John O'Hurley,0.3105084870032935,0.1988405191590774,0.0535946750223221,0.2695359841594713,0.1210278454348274,0.2855352291426165,0.164507383707789,26.0,rank,False,Charlotte Jorgensen,Actor/Actress,Maine,0.0,0.0,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,24.2,4.9,-1.3706095333397958,0.02945054945054945
1,2,Kelly Monaco,0.0935233590350072,0.1005082913629737,0.0136710087687897,0.1360187163009124,0.0765548833171563,0.1160302120748803,0.0394753287577239,17.0,rank,False,Alec Mazo,Actor/Actress,Pennsylvania,20.83333333333333,0.0,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,25.2,7.1,-0.72243182682514,0.10505494505494505
1,2,Evander Holyfield,0.1262433299074973,0.140131326221881,0.0172859817091774,0.1233555849018883,0.1128261556631898,0.1698735599196145,0.0570474042564246,14.0,rank,False,Edyta Sliwinska,Athlete,Alabama,2.7777777777777777,0.0,United States,42,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,20.6,1.8,-2.264322710617701,0.04395604395604396
1,2,Rachel Hunter,0.2300303448483522,0.2562803863427473,0.0602967919778424,0.2352766547542268,0.1735893095525615,0.3536318088651379,0.1800424993125763,24.0,rank,False,Jonathan Roberts,Model,,24.75,0.0,New Zealand,35,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,19.3,2.1,-1.650686320655593,0.16659340659340663
