season,regime,n_weeks,optimal_lambda,benefit,baseline,improvement
1,rank,6,0.2,0.23110302159842455,0.23110302159842455,0.0
2,rank,8,0.3,0.5877850835765572,0.5877850835765572,0.0
3,percent,10,0.2,0.34763019831809283,0.34763019831809283,0.0
4,percent,10,0.8,0.4154155310861973,0.3360930449934052,0.07932248609279208
5,percent,10,0.4,0.5822373840580524,0.48900436493925026,0.09323301911880211
6,percent,10,0.5,0.44387480028133997,0.44387480028133997,0.0
7,percent,10,0.2,0.47962268026360555,0.4349236040778767,0.044699076185728825
8,percent,11,0.2,0.5185055837435528,0.4181182715790007,0.1003873121645521
9,percent,10,0.2,0.5087216476011961,0.49224343992418945,0.01647820767700664
10,percent,10,0.2,0.5077693983508866,0.5077693983508866,0.0
11,percent,10,0.5,0.627490957066329,0.627490957066329,0.0
12,percent,10,0.2,0.5287462005881368,0.527062390875919,0.0016838097122178208
13,percent,10,0.2,0.4610986556703555,0.44557731758731456,0.015521338083040959
14,percent,10,0.5,0.45666647577711283,0.45666647577711283,0.0
15,percent,10,0.2,0.31064758012008475,0.3040396587327485,0.006607921387336235
16,percent,10,0.2,0.4841373314325474,0.4009837064770053,0.08315362495554207
17,percent,11,0.6,0.3603214608767118,0.3455876741994074,0.014733786677304406
18,percent,10,0.2,0.35372222859892777,0.35372222859892777,0.0
19,percent,11,0.3,0.5184476075174881,0.500244564083199,0.018203043434289135
20,percent,10,0.2,0.4806692487308125,0.37768641029182787,0.10298283843898465
21,percent,11,0.2,0.4747501804761355,0.4640103144886647,0.010739865987470787
22,percent,10,0.2,0.34988790910103346,0.34988790910103346,0.0
23,percent,11,0.2,0.4784851142419368,0.47357265287191014,0.004912461370026655
24,percent,10,0.6,0.37583699279246086,0.36457715719698425,0.011259835595476608
25,percent,10,0.3,0.36537955863373356,0.2636365569655654,0.10174300166816813
26,percent,4,0.2,0.18505275243085806,0.18505275243085806,0.0
27,percent,9,0.4,0.25825711337653523,0.2263834098212972,0.031873703555238025
28,bottom2,11,0.8,0.1847512229577575,0.15858788788178554,0.02616333507597196
29,bottom2,11,0.2,0.2640117164952255,0.146031021859219,0.11798069463600647
30,bottom2,10,0.8,0.14898820736576235,0.1487082561784696,0.0002799511872927374
31,bottom2,10,0.2,0.2217438190502372,0.1534289258225099,0.06831489322772732
32,bottom2,11,0.2,0.21109419374123672,0.21109419374123672,0.0
33,bottom2,9,0.2,0.33076209480590146,0.2863577876369708,0.04440430716893068
34,bottom2,11,0.2,0.09006057866398715,0.0494890240687752,0.040571554595211945
