season,regime,n_weeks,optimal_lambda,benefit,baseline,improvement
1,rank,6,0.35,0.2172389642494552,0.028148339276831757,0.18909062497262347
2,rank,8,0.3,0.5609996000341839,0.4049802895594628,0.15601931047472112
3,percent,10,0.35,0.26795753250202886,0.26795753250202886,0.0
4,percent,10,0.75,0.3748904863497194,0.304130594343903,0.0707598920058164
5,percent,10,0.35,0.5489212518514878,0.4651777270647931,0.08374352478669467
6,percent,10,0.5,0.4390809319553891,0.4390809319553891,0.0
7,percent,10,0.3,0.4012110237940057,0.3626846695983071,0.03852635419569861
8,percent,11,0.2,0.47183738161609456,0.381374076233865,0.09046330538222958
9,percent,10,0.25,0.49876909797900126,0.48430910107455727,0.014459996904443995
10,percent,10,0.2,0.48178593580920587,0.48178593580920587,0.0
11,percent,10,0.5,0.5709571621319913,0.5709571621319913,0.0
12,percent,10,0.5,0.5249969244228407,0.5249969244228407,0.0
13,percent,10,0.2,0.4245414184183619,0.40949811418844717,0.015043304229914733
14,percent,10,0.5,0.45824578544650624,0.45824578544650624,0.0
15,percent,10,0.5,0.19793958922950872,0.19793958922950872,0.0
16,percent,10,0.2,0.5119547330141621,0.4346529674083287,0.07730176560583335
17,percent,11,0.55,0.27946514060142524,0.2652407553689702,0.014224385232455061
18,percent,10,0.2,0.33308806070250785,0.33308806070250785,0.0
19,percent,11,0.3,0.4768703218039039,0.459999444423446,0.016870877380457894
20,percent,10,0.2,0.33370852642716414,0.24507717497917036,0.08863135144799378
21,percent,11,0.3,0.4886617425825099,0.48523394456132346,0.0034277980211864234
22,percent,10,0.45,0.3357090449221919,0.3357090449221919,0.0
23,percent,11,0.45,0.42032451022285294,0.41739905633586233,0.0029254538869906144
24,percent,10,0.55,0.295029042763802,0.2764757261526239,0.018553316611178094
25,percent,10,0.25,0.3429868526380585,0.2529003427563818,0.09008650988167671
26,percent,4,0.2,0.16464679254292802,0.16464679254292802,0.0
27,percent,9,0.35,0.13222900947363975,0.11356400395263483,0.018665005521004918
28,bottom2,11,0.45,0.23113956037312544,0.21298137029759423,0.01815819007553121
29,bottom2,11,0.2,0.3903283715441117,0.28365152335363997,0.10667684819047174
30,bottom2,10,0.45,0.24955965092346274,0.17186604699381589,0.07769360392964686
31,bottom2,10,0.65,0.3813899300965742,0.3433803891678087,0.03800954092876546
32,bottom2,11,0.45,0.249471517073643,0.249471517073643,0.0
33,bottom2,9,0.2,0.4366003097385919,0.3287181637644523,0.10788214597413959
34,bottom2,11,0.4,0.23893987963911856,0.14784529587283446,0.0910945837662841
