season,regime,n_weeks,optimal_lambda,benefit,baseline,improvement
1,rank,6,0.55,0.23104705144917081,0.2297970514491708,0.0012500000000000011
2,rank,8,0.55,0.5896694119347662,0.5884194119347662,0.0012499999999999734
3,percent,10,0.5,0.3670891535419734,0.3670891535419734,0.0
4,percent,10,0.8,0.4506394116832122,0.3556919255904201,0.09494748609279208
5,percent,10,0.4,0.6019295482371568,0.5143215291183547,0.08760801911880212
6,percent,10,0.8,0.4615709150952476,0.4610296510276086,0.0005412640676389913
7,percent,10,0.75,0.4926591166791719,0.45420532049578716,0.038453796183384736
8,percent,11,0.45,0.5333936434450454,0.43925633128049324,0.09413731216455212
9,percent,10,0.45,0.5277701550638827,0.522541947386876,0.005228207677006713
10,percent,10,0.5,0.5248029804404389,0.5248029804404389,0.0
11,percent,10,0.5,0.6433958078125976,0.6433958078125976,0.0
12,percent,10,0.8,0.5627713460997995,0.5502713460997996,0.012499999999999956
13,percent,10,0.45,0.4873859691031913,0.47686463102015036,0.010521338083040954
14,percent,10,0.55,0.48263662503084415,0.4782616250308442,0.004374999999999962
15,percent,10,0.8,0.3585109906937235,0.34065346470289776,0.01785752599082574
16,percent,10,0.2,0.4891559881489653,0.41850236319342327,0.07065362495554206
17,percent,11,0.8,0.4147710877423834,0.38003730106507905,0.03473378667730437
18,percent,10,0.6,0.3873602883004203,0.37923528830042025,0.008125000000000049
19,percent,11,0.45,0.5381203044764951,0.5291158327399154,0.0090044717365797
20,percent,10,0.45,0.5050535770890214,0.40769573865003683,0.0973578384389846
21,percent,11,0.7,0.5042155383692617,0.4873405383692617,0.016874999999999973
22,percent,10,0.5,0.37392708820551107,0.37392708820551107,0.0
23,percent,11,0.55,0.5017349663047459,0.4929849663047459,0.00874999999999998
24,percent,10,0.8,0.4133111929627935,0.38134021689847675,0.03197097606431676
25,percent,10,0.45,0.3940642601262709,0.29544625845810274,0.09861800166816814
26,percent,4,0.5,0.18505275243085806,0.18505275243085806,0.0
27,percent,9,0.45,0.2822496506899681,0.25850094713473004,0.02374870355523806
28,bottom2,11,0.8,0.21782025280850376,0.1660319177325318,0.05178833507597197
29,bottom2,11,0.2,0.2640117164952255,0.146031021859219,0.11798069463600647
30,bottom2,10,0.8,0.19146955064934443,0.1530645994620517,0.03840495118729273
31,bottom2,10,0.45,0.235335236960685,0.17327034373295766,0.06206489322772735
32,bottom2,11,0.65,0.2410195668755651,0.2210195668755651,0.020000000000000018
33,bottom2,9,0.25,0.4137007533568541,0.28869920554741857,0.1250015478094355
34,bottom2,11,0.8,0.12356658162158635,0.05625208377026775,0.0673144978513186
