season,regime,n_weeks,optimal_lambda,benefit,baseline,improvement
1,rank,6,0.2,0.11155747175594818,0.11155747175594818,0.0
2,rank,8,0.6,0.43136257107627296,0.3947135091153874,0.036649061960885576
3,percent,10,0.4,0.34478041046382546,0.3174657174813993,0.02731469298242617
4,percent,10,0.2,0.348333475581362,0.32332855709037195,0.02500491849099007
5,percent,10,0.3,0.5516117849294206,0.5034676371013114,0.048144147828109274
6,percent,10,0.6,0.41738669765870084,0.3992329030884414,0.01815379457025945
7,percent,10,0.6,0.40680435224932243,0.39044424572798864,0.016360106521333795
8,percent,11,0.2,0.4619300974784032,0.45483429200677516,0.007095805471628025
9,percent,10,0.2,0.4677120883546119,0.4538167956391157,0.013895292715496221
10,percent,10,0.2,0.4889888681106667,0.47172450410326683,0.01726436400739989
11,percent,10,0.2,0.5616384654881951,0.5349013082006029,0.026737157287592184
12,percent,10,0.4,0.509242651557245,0.509242651557245,0.0
13,percent,10,0.4,0.47012634209322973,0.42969331339314787,0.04043302870008186
14,percent,10,0.2,0.42021588853307257,0.42021588853307257,0.0
15,percent,10,0.3,0.2935861528115264,0.2662659853278988,0.02732016748362759
16,percent,10,0.4,0.34690133420827635,0.34151746893428847,0.005383865273987876
17,percent,11,0.3,0.21398405415931657,0.17541750130696743,0.03856655285234914
18,percent,10,0.2,0.36578262858427596,0.35086949889934327,0.014913129684932691
19,percent,11,0.6,0.46960892219713574,0.4603607567042266,0.009248165492909133
20,percent,10,0.2,0.41580126323493244,0.40478896015882093,0.011012303076111507
21,percent,11,0.2,0.40745297831330834,0.40387462431842813,0.0035783539948802123
22,percent,10,0.5,0.27085283216047,0.27085283216047,0.0
23,percent,11,0.2,0.4240498677869918,0.4098187542938688,0.014231113493122949
24,percent,10,0.2,0.2934043661794078,0.28864246141750305,0.004761904761904745
25,percent,10,0.2,0.2973089336199246,0.27595224072657365,0.02135669289335096
26,percent,4,0.3,0.21878568013088573,0.21878568013088573,0.0
27,percent,9,0.4,0.17306936677974707,0.16236706082133148,0.010702305958415592
28,bottom2,11,0.7,0.14487833534056266,0.10576955419834227,0.039108781142220383
29,bottom2,11,0.8,0.281298541312519,0.2762575079774795,0.005041033335039524
30,bottom2,10,0.7,0.24789601488444674,0.23740703818297923,0.010488976701467506
31,bottom2,10,0.2,0.3709729123532199,0.3540608454750167,0.01691206687820318
32,bottom2,11,0.4,0.3515706695523457,0.3449123647086396,0.006658304843706109
33,bottom2,9,0.2,0.46927159814891206,0.45340282143228783,0.015868776716624233
34,bottom2,11,0.7,0.13270219032182123,0.09757839339901275,0.03512379692280848
