season,week,regime,exact_match,jaccard,margin,slack,n_eliminated,n_active
1,2,rank,True,1.0,3.0,0.0,1,6
1,3,rank,True,1.0,5.0,0.0,1,5
1,4,rank,True,1.0,1.0,0.0,1,4
1,5,rank,True,1.0,3.0,0.0,1,3
2,1,rank,True,1.0,8.0,0.0,1,10
2,2,rank,True,1.0,7.0,0.0,1,9
2,3,rank,True,1.0,5.0,0.0,1,8
2,4,rank,True,1.0,7.0,0.0,1,7
2,5,rank,True,1.0,6.0,0.0,1,6
2,6,rank,True,1.0,3.0,0.0,1,5
2,7,rank,True,1.0,2.0,0.0,1,4
3,1,percent,True,1.0,0.13687508605726917,0.0,1,11
3,2,percent,True,1.0,0.11544831350267744,0.0,1,10
3,3,percent,True,1.0,0.12993467109272713,0.0,1,9
3,4,percent,True,1.0,0.14661320834378605,0.0,1,8
3,5,percent,True,1.0,0.15909798042141182,0.0,1,7
3,7,percent,True,1.0,0.28656137828028916,0.0,1,5
3,8,percent,True,1.0,0.34161548997946667,0.0,1,4
3,9,percent,True,1.0,0.4064247421398524,0.0,1,3
3,10,percent,True,1.0,0.0,0.0,2,2
4,2,percent,True,1.0,0.10516624916878542,0.0,1,11
4,3,percent,True,1.0,0.11448473651115587,0.0,1,10
4,4,percent,True,1.0,0.1542166933796047,0.0,1,9
4,5,percent,True,1.0,0.19989712932870954,0.0,1,8
4,6,percent,True,1.0,0.1746936115701854,0.0,1,7
4,7,percent,True,1.0,0.22362078563279264,0.0,1,6
4,8,percent,True,1.0,0.3086112109969853,0.0,1,5
4,9,percent,True,1.0,0.33974976954674235,0.0,1,4
4,10,percent,True,1.0,0.0,0.0,3,3
5,1,percent,True,1.0,0.11333664908035582,0.0,1,12
5,2,percent,True,1.0,0.10212592759260387,0.0,1,11
5,3,percent,True,1.0,0.13794291355376925,0.0,1,10
5,4,percent,True,1.0,0.13892960063099496,0.0,1,9
5,5,percent,True,1.0,0.1645040893218033,0.0,1,8
5,6,percent,True,1.0,0.17078576677718066,0.0,1,7
5,7,percent,True,1.0,0.20755647265314395,0.0,1,6
5,8,percent,True,1.0,0.2569385902102609,0.0,1,5
5,9,percent,True,1.0,0.33487816884280797,0.0,1,4
5,10,percent,True,1.0,0.0,0.0,3,3
6,2,percent,True,1.0,0.12081306222557431,0.0,2,12
6,3,percent,True,1.0,0.1193912595386989,0.0,1,10
6,4,percent,True,1.0,0.1544937013050608,0.0,1,9
6,5,percent,True,1.0,0.16284272761005977,0.0,1,8
6,6,percent,True,1.0,0.19677501935387762,0.0,1,7
6,7,percent,True,1.0,0.20145381484857966,0.0,1,6
6,8,percent,True,1.0,0.2513364292197152,0.0,1,5
6,9,percent,True,1.0,0.3500512538761351,0.0,1,4
6,10,percent,True,1.0,0.0,0.0,3,3
7,1,percent,True,1.0,0.09700072514625187,0.0,2,13
7,2,percent,True,1.0,0.11462068895599965,0.0,1,11
7,4,percent,True,1.0,0.14979496797060923,0.0,1,9
7,5,percent,True,1.0,0.15627763045147797,0.0,1,8
7,6,percent,True,1.0,0.22310784452919158,0.0,1,7
7,7,percent,True,1.0,0.20339266382345558,0.0,1,6
7,8,percent,True,1.0,0.26400497603879375,0.0,1,5
7,9,percent,True,1.0,0.35773386223773174,0.0,1,4
7,10,percent,True,1.0,0.0,0.0,3,3
8,2,percent,True,1.0,0.09213931108738016,0.0,1,13
8,3,percent,True,1.0,0.11157851302941316,0.0,1,12
8,4,percent,True,1.0,0.14233655515320193,0.0,2,11
8,5,percent,True,1.0,0.13148574141829,0.0,1,9
8,6,percent,True,1.0,0.18629377375603137,0.0,1,8
8,7,percent,True,1.0,0.19821802891611415,0.0,1,7
8,8,percent,True,1.0,0.2033009068237172,0.0,1,6
8,9,percent,True,1.0,0.25534255155472396,0.0,1,5
8,10,percent,True,1.0,0.3686561683322349,0.0,1,4
8,11,percent,True,1.0,0.0,0.0,3,3
9,1,percent,True,1.0,0.08881910638013944,0.0,2,16
9,2,percent,True,1.0,0.08740795022660441,0.0,1,14
9,3,percent,True,1.0,0.0943685906664678,0.0,1,13
9,4,percent,True,1.0,0.12184265011547706,0.0,1,11
9,5,percent,True,1.0,0.12080577407328198,0.0,1,10
9,6,percent,True,1.0,0.16632060696779785,0.0,2,9
9,7,percent,True,1.0,0.21452519201988243,0.0,2,7
9,8,percent,True,1.0,0.26091434776424594,0.0,1,5
9,9,percent,True,1.0,0.3275254414905117,0.0,1,4
9,10,percent,True,1.0,0.0,0.0,3,3
10,2,percent,True,1.0,0.09896693349290135,0.0,1,11
10,3,percent,True,1.0,0.15008083434314654,0.0,1,10
10,4,percent,True,1.0,0.1491381397167853,0.0,1,9
10,5,percent,True,1.0,0.18570523065489325,0.0,1,8
10,6,percent,True,1.0,0.1930950650325643,0.0,1,7
10,7,percent,True,1.0,0.20295272519423513,0.0,1,6
10,8,percent,True,1.0,0.28567200904552215,0.0,1,5
10,9,percent,True,1.0,0.35696067500341766,0.0,1,4
10,10,percent,True,1.0,0.0,0.0,3,3
11,1,percent,True,1.0,0.10903575614314896,0.0,1,12
11,2,percent,True,1.0,0.13977094727047748,0.0,1,11
11,3,percent,True,1.0,0.1312387410907946,0.0,1,10
11,4,percent,True,1.0,0.1611636830029631,0.0,1,9
11,5,percent,True,1.0,0.15317572153552309,0.0,1,8
11,6,percent,True,1.0,0.15230172166959535,0.0,1,7
11,7,percent,True,1.0,0.2011419034447335,0.0,1,6
