season,week,celebrity_name,p_surv_rank,p_surv_pct,cum_p_rank,cum_p_pct
4,1,Billy Ray Cyrus,1.0,1.0,1.0,1.0
4,2,Billy Ray Cyrus,0.22592738032255677,0.23695780796636928,0.22592738032255677,0.23695780796636928
4,3,Billy Ray Cyrus,0.21647416822981097,0.23711267910403694,0.04890744173566564,0.05618570068152573
4,4,Billy Ray Cyrus,0.3622199191914065,0.41039428206936157,0.01771524959335123,0.02305829029375879
4,5,Billy Ray Cyrus,0.2632818589366892,0.24158876423881548,0.00466410384446494,0.005570623857529059
4,6,Billy Ray Cyrus,0.22710766731378362,0.22267290557426067,0.0010592537442256828,0.001240427000217292
4,7,Billy Ray Cyrus,0.2012516939175687,0.17682028364433822,0.0002131766103139457,0.00021933265401851717
4,8,Billy Ray Cyrus,0.17388647342498373,0.1344209089114633,3.706852898418403e-05,2.948289470713259e-05
27,1,Bobby Bones,0.571152069369522,0.5805017120270268,0.571152069369522,0.5805017120270268
27,2,Bobby Bones,0.2914725616014471,0.26919104208907557,0.16647515672310198,0.1562658607950478
27,3,Bobby Bones,0.2719217184070552,0.33452968483797535,0.04526821068822972,0.05227556916270227
27,4,Bobby Bones,0.15228301437236624,0.2251955606958041,0.00689357957884699,0.011772226108287024
27,5,Bobby Bones,1.0,1.0,0.00689357957884699,0.011772226108287024
27,6,Bobby Bones,0.21171144173178985,0.2144772012199122,0.001459449671330521,0.00252487410783338
27,7,Bobby Bones,0.22518469272706487,0.24495455422776236,0.00032864572578917916,0.0006184794115655448
27,8,Bobby Bones,0.525,0.3818133330371625,0.00017253900603931907,0.00023614368554470362
27,9,Bobby Bones,1.0,1.0,0.00017253900603931907,0.00023614368554470362
11,1,Bristol Palin,0.40292027746567693,0.42940563885825733,0.40292027746567693,0.42940563885825733
11,2,Bristol Palin,0.6089208436189764,0.6193944831539566,0.24534655526559204,0.26597148374400487
11,3,Bristol Palin,0.24972010612169515,0.24681983834818888,0.06126796781751599,0.06564703862292323
11,4,Bristol Palin,0.20304614588169195,0.24776213779434425,0.012440224731350159,0.016264850629083345
11,5,Bristol Palin,0.16585594344719168,0.17419558984968175,0.0020632852095131674,0.002833265249150141
11,6,Bristol Palin,0.16688706344768353,0.2743607252226989,0.00034433560967069097,0.0007773367085051033
11,7,Bristol Palin,0.24917675697930464,0.24109596654928267,8.580043053023447e-05,0.0001874127450712759
